DEPARTAMENTO,CIUDAD,NOMBRE CONCESIONARIO,NOMBRE EMISORA,CODIGO EMISORA,DISTINTIVO,FRECUENCIA,BANDA,"CLASE DE
EMISORA"
AMAZONAS,LETICIA,CARACOL PRIMERA CADENA RADIAL COLOMBIANA S.A.,CARACOL,52626,HJF90,93.9 MHz,FM,COMERCIAL
AMAZONAS,LETICIA,SOCIEDAD  ONDAS DEL AMAZONAS LTDA.,ONDAS DEL AMAZONAS,51838,HJOU,1260 kHz,AM,COMERCIAL
AMAZONAS,LETICIA,RADIO TELEVISIÓN NACIONAL DE COLOMBIA,RADIO NACIONAL DE COLOMBIA,53260,HKR74,95.5 MHz,FM,INTERÉS PÚBLICO
AMAZONAS,PUERTO NARIÑO,RADIO TELEVISIÓN NACIONAL DE COLOMBIA,RADIO NACIONAL DE COLOMBIA,53559,HJD27,102.9 MHz,FM,INTERÉS PÚBLICO
AMAZONAS,LETICIA,POLICIA NACIONAL DE COLOMBIA,POLICIA NACIONAL 98.9 LETICIA,52902,HJF91,98.9 MHz,FM,INTERÉS PÚBLICO
AMAZONAS,LETICIA,GOBERNACION DEL AMAZONAS,EMISORA DE INTERÉS PÚBLICO EN LETICIA,53310,HJC32,97.9 MHz,FM,INTERÉS PÚBLICO
ANTIOQUIA,MEDELLÍN,CORPORACIÓN SANTA MARÍA DE LA PAZ,1560 AM SANTA MARIA DE LA PAZ,51818,HJXZ,1560 kHz,AM,COMERCIAL
ANTIOQUIA,GUARNE,KOKORICOLOR LIMITADA,ALFA STEREO 106.3 LA FM,52099,HJA74,106.3 MHz,FM,COMERCIAL
ANTIOQUIA,MEDELLÍN,PROMOTORA RADIAL COLOMBIANA S.A.S,ANTENA DOS,51851,HJPL,670 kHz,AM,COMERCIAL
ANTIOQUIA,APARTADÓ,BANAGRO S.A.S,APARTADÓ ESTEREO ,52101,HJB70,103.3 MHz,FM,COMERCIAL
ANTIOQUIA,ENVIGADO,RADIO INTEGRIDAD S.A,BBN RADIO,51515,HJIP,1590 kHz,AM,COMERCIAL
ANTIOQUIA,MEDELLÍN,CARACOL PRIMERA CADENA RADIAL COLOMBIANA S.A.,BÉSAME,51877,HJDW,94.9 MHz,FM,COMERCIAL
ANTIOQUIA,BELLO,FAMOSA S.A.S,BLU RADIO,52165,HJD78,97.9 MHz,FM,COMERCIAL
ANTIOQUIA,BELMIRA,PARROQUIA DE NUESTRA SEÑORA DEL ROSARIO,BRISAS DEL RIO CHICO,52174,HJA26,1540 kHz,AM,COMERCIAL
ANTIOQUIA,MEDELLÍN,CÁMARA DE COMERCIO DE MEDELLÍN PARA ANTIOQUIA,CAMARA FM,51988,HJUC,95.9 MHz,FM,COMERCIAL
ANTIOQUIA,MEDELLÍN,CARACOL PRIMERA CADENA RADIAL COLOMBIANA S.A.,CARACOL RADIO,51501,HJDK,750 kHz,AM,COMERCIAL
ANTIOQUIA,SABANETA,CARACOL PRIMERA CADENA RADIAL COLOMBIANA S.A.,CARACOL RADIO RADIOACTIVA,52179,HJE27,90.3 MHz,FM,COMERCIAL
ANTIOQUIA,MEDELLÍN,RADIO SISTEMA FEDERAL LTDA.,COLMUNDO RADIO MEDELLIN,51525,HJNZ,1440 kHz,AM,COMERCIAL
ANTIOQUIA,FRONTINO,HERNANDO MARTÍNEZ BORJA,ECOS DE FRONTINO,52164,HJD23,1420 kHz,AM,COMERCIAL
ANTIOQUIA,BELLO,RADIO CADENA NACIONAL S.A.S,EL SOL 107.9,52076,HJXW,107.9 MHz,FM,COMERCIAL
ANTIOQUIA,NARIÑO,PARROQUIA DE NUESTRA SEÑORA DE LAS MERCEDES,EMISORA LA VOZ DE NARIÑO - TU VOZ PARA VOS,51987,HJNP,1340 kHz,AM,COMERCIAL
ANTIOQUIA,MEDELLÍN,"IGLESIA CENTRAL DENOMINACIÓN "" CENTRO MISIONERO BETHESDA""",EMISORA RADIO AUTENTICA - MEDELLIN,51530,HJDA,1260 kHz,AM,COMERCIAL
ANTIOQUIA,MEDELLÍN,ASOCIACIÓN COMUNIDAD DE RESTAURACIÓN,ESPERANZA COLOMBIA RADIO,51536,HJII,1470 kHz,AM,COMERCIAL
ANTIOQUIA,LA ESTRELLA,ESTRELLA GRUPO EMPRESARIAL S.A,ESTRELLA ESTEREO,51944,HJTD,104.3 MHz,FM,COMERCIAL
ANTIOQUIA,MEDELLÍN,SERVICIO RADIAL INTEGRADO S.A.S.,FANTÁSTICA,51880,HJIK,96.9 MHz,FM,COMERCIAL
ANTIOQUIA,EL PEÑOL,PARROQUIA DE NUESTRA SEÑORA DE CHIQUINQUIRÁ DE EL PEÑOL,FENIX DE ORIENTE,51933,HJRD,1330 kHz,AM,COMERCIAL
ANTIOQUIA,GIRARDOTA,VITAL INVERSIONES S.A.,FIESTA ESTÉREO,52629,HJG42,94.4 MHz,FM,COMERCIAL
ANTIOQUIA,COPACABANA,SISTEMA SONORO DE COLOMBIA LTDA.,GUASCA FM 88.9,52628,HJG38,88.9 MHz,FM,COMERCIAL
ANTIOQUIA,PUERTO NARE, JOSÉ VICENTE FAJARDO DONCEL,LA CHEVERISIMA,54082,HJG63,91.3 MHz,FM,COMERCIAL
ANTIOQUIA,ITAGÜÍ,RADIO CADENA NACIONAL S.A.S,LA FM,52083,HJUU,106.9 MHz,FM,COMERCIAL
ANTIOQUIA,MEDELLÍN,VITAL INVERSIONES S.A.,LA MEGA ESTÉREO,51861,HJRY,92.9 MHz,FM,COMERCIAL
