Frequency (MHz)
87.75
88.1
88.7
89.2
89.7
90.1
90.3
90.7
91.1
91.7
92.1
92.7
93.7
94.3
94.7
95.1
95.7
96.3
97.2
97.7
98.1
99.1
99.7
100.2
100.7
101.2
101.7
102.7
103.7
104.1
104.4
105.2
105.7
106.6
107.1
107.9
