Frequency (MHz)
87.0
87.1
87.6
89.1
89.8
89.9
90.0
90.5
91.8
91.9
92.0
92.8
92.9
93.3
93.7
93.8
94.6
94.7
95.9
96.5
97.4
97.5
98.7
99.8
99.9
100.6
101.3
101.4
101.9
103.8
103.9
104.0
105.2
105.9
106.3
106.8
107.4
107.5
107.7
