Frequency (MHz),
88,
88.1,
89.9,
90.5,
91.8,
91.9,
92.9,
95.3,
95.8,
95.9,
96,
96.5,
99.8,
99.9,
101.3,
101.4,
101.9,
103.8,
105.9,
107.3,
