DEPARTAMENTO;CIUDAD;NOMBRE CONCESIONARIO;NOMBRE EMISORA;CODIGO EMISORA;DISTINTIVO;FRECUENCIA;BANDA;"CLASE DE
EMISORA"
ANTIOQUIA;JERICO;LA VOZ DEL SUROESTE LTDA.;LA VOZ DEL SUROESTE;51529;HJMA;1520 kHz;AM;COMERCIAL
ANTIOQUIA;MEDELLIN;CARACOL ESTEREO S.A.;LA W;51928;HJE71;102.9 MHz;FM;COMERCIAL
ANTIOQUIA;MEDELLIN;SONIDO FM S.A.S;LA X;52631;HJG54;103.9 MHz;FM;COMERCIAL
ANTIOQUIA;MEDELLIN;SOCIEDAD ANTIOQUENA DE RADIODIFUSION LTDA. -SAR;LA Z;51835;HJTO;91.9 MHz;FM;COMERCIAL
ANTIOQUIA;ENVIGADO;RADIO 2000 FM ESTEREO S.A.S;LATINASTEREO;51995;HJQO;100.9 MHz;FM;COMERCIAL
ANTIOQUIA;MEDELLIN;RADIO ESTUDIO S.A.S;LAVOZ DE LAS ESTRELLAS;51522;HJTH;1290 kHz;AM;COMERCIAL
ANTIOQUIA;MEDELLIN;CORPORACION CENTRO CARISMATICO MINUTO DE DIOS;MINUTO DE DIOS ;51500;HJIL;1230 kHz;AM;COMERCIAL
ANTIOQUIA;MEDELLIN;5 MEDIA S.A.S;MIX;51889;HJRT;89.9 MHz;FM;COMERCIAL
ANTIOQUIA;MEDELLIN;COMPANIA DE COMUNICACIONES DE COLOMBIA C.C.C LTDA.;OXIGENO BY LOS40;52045;HJE72;90.9 MHz;FM;COMERCIAL
ANTIOQUIA;MEDELLIN;PROMOTORA DE PUBLICIDAD RADIAL S.A.;Q´HUBO RADIO;51535;HJDM;830 kHz;AM;COMERCIAL
ANTIOQUIA;CALDAS;ARTISTAS Y MEDIOS S.A.S.;QHUBO;52173;HJD76;102.3 MHz;FM;COMERCIAL
ANTIOQUIA;MEDELLIN;UNIVERSIDAD PONTIFICIA  BOLIVARIANA;RADIO BOLIVARIANA AM;51517;HJDI;1110 kHz;AM;COMERCIAL
ANTIOQUIA;MEDELLIN;UNIVERSIDAD PONTIFICIA BOLIVARIANA DE MEDELLIN;RADIO BOLIVARIANA FM;52151;HJA94;92.4 MHz;FM;COMERCIAL
ANTIOQUIA;MEDELLIN;ARCO LTDA. ASOCIACION RADIAL COLOMBIANA;RADIO CLARIDAD;51503;HJDQ;1020 kHz;AM;COMERCIAL
ANTIOQUIA;TURBO;PRODUCCIONES LITORAL LTDA.;RADIO LITORAL;51518;HJMG;1060 kHz;AM;COMERCIAL
ANTIOQUIA;MEDELLIN;ASOCIACION RADIO MARIA DE COLOMBIA;RADIO MARIA DE MEDELLIN;51511;HJTA;1320 kHz;AM;COMERCIAL
ANTIOQUIA;TURBO;ASOCIACION RADIO MARIA DE COLOMBIA;RADIO MARIA DE TURBO;51508;HJTN;1460 kHz;AM;COMERCIAL
ANTIOQUIA;URRAO;ASOCIACION RADIO MARIA DE COLOMBIA;RADIO MARIA DE URRAO;52180;HJE20;1450 kHz;AM;COMERCIAL
ANTIOQUIA;MEDELLIN;RADIO MUNERA 790 S.A;RADIO MUNERA 790 DE MEDELLIN;51519;HJDC;790 kHz;AM;COMERCIAL
ANTIOQUIA;MEDELLIN;ASOCIACION BENEFICIO CRISTIANA PROMOTORA DE DESARROLLO INTEGRAL A.B.C PRODEIN-RADIO NSE;RADIO NSE (NUESTRA SENORA DEL ENCUENTRO);51800;HJJD;1380 kHz;AM;COMERCIAL
ANTIOQUIA;MEDELLIN;SOCIEDAD ANTIOQUENA DE RADIODIFUSION LTDA. -SAR;RADIO NUTIBARA;51516;HJKW;1170 kHz;AM;COMERCIAL
ANTIOQUIA;MEDELLIN;ORGANIZACION RADIAL OLIMPICA S.A.;RADIO OLIMPICA FM ESTEREO;51894;HJFK;104.9 MHz;FM;COMERCIAL
ANTIOQUIA;MEDELLIN;RADIO CADENA NACIONAL S.A.S;RADIO PAISA LA CARI?OSA;51506;HJDL;1140 kHz;AM;COMERCIAL
ANTIOQUIA;MEDELLIN;P Y C INVERSIONES S.A;RADIO RED;51531;HJNX;710 kHz;AM;COMERCIAL
ANTIOQUIA;SANTA BARBARA;NATALIA Y SUSANA CASTANEDA RAMIREZ-RADIO SANTA BARBARA;RADIO SANTA BARBARA;51524;HJLM;1310 kHz;AM;COMERCIAL
ANTIOQUIA;YARUMAL;PROYECTOS & SERVICIOS ESPECIALIZADOS S.A.S;RADIO SENSACION YARUMAL;51847;HJPK;1430 kHz;AM;COMERCIAL
ANTIOQUIA;RIONEGRO;DIOCESIS DE SONSON, RIONEGRO;RADIO SINIGUAL F.M ESTEREO;52036;HJUP;93.3 MHz;FM;COMERCIAL
ANTIOQUIA;SONSON;COOPERATIVA SERVICOOPS;RADIO SONSON;51526;HJTC;1490 kHz;AM;COMERCIAL
ANTIOQUIA;CONCORDIA;RADIO DIFUSORA LA PAZ S.A.S;RADIO SUROESTE;51528;HJMB;1280 kHz;AM;COMERCIAL
ANTIOQUIA;MEDELLIN;CHAR DIAZ S.A.S;RADIO TIEMPO FM ESTEREO;52632;HJG55;105.9 MHz;FM;COMERCIAL
ANTIOQUIA;MEDELLIN;RADIO CADENA NACIONAL S.A.S;RADIO UNO;51865;HJSX;93.9 MHz;FM;COMERCIAL
ANTIOQUIA;LA CEJA;RADIO CADENA NACIONAL S.A.S;RADIO UNO;52091;HJYJ;97.3 MHz;FM;COMERCIAL
ANTIOQUIA;FREDONIA;RADIO CADENA NACIONAL S.A.S;RADIO UNO;52169;HJB88;91.3 MHz;FM;COMERCIAL
ANTIOQUIA;MEDELLIN;RADIO CADENA NACIONAL S.A.S;RCN RADIO;51513;HJCH;990 kHz;AM;COMERCIAL
ANTIOQUIA;RIONEGRO;RADIO CADENA NACIONAL S.A.S;RCN RADIO;51521;HJNU;1370 kHz;AM;COMERCIAL
ANTIOQUIA;CAUCASIA;RADIO CADENA NACIONAL S.A.S;RUMBA ESTEREO;52627;HJG35;91.3 MHz;FM;COMERCIAL
ANTIOQUIA;ANDES;CIRCUITO RADIAL DEL SUROESTE LTDA.;TRANSMISORA SURANDES;51805;HJGQ;1100 kHz;AM;COMERCIAL
ANTIOQUIA;ENVIGADO;CARACOL PRIMERA CADENA RADIAL COLOMBIANA S.A.;TROPICANA;52005;HJVJ;98.9 MHz;FM;COMERCIAL
ANTIOQUIA;MEDELLIN;SISTEMA RADIAL K. DE LA CIUDAD DE BOGOTA COMPANIA LTDA.;VIDA AM 870;51509;HJZH;870 kHz;AM;COMERCIAL
ANTIOQUIA;MEDELLIN;PROMOTORA DE PUBLICIDAD RADIAL S.A;W+;52630;HJG53;99.4 MHz;FM;COMERCIAL
ANTIOQUIA;MEDELLIN;FUNDACION ESCUELA BIBLICA CATOLICA YESHU'A;YESHUA LA VOZ DE JESUCRISTO;51510;HJDN;1530 kHz;AM;COMERCIAL
ANTIOQUIA;MEDELLIN;FUNDACION CULTURAL CECILIA LINCE VELASQUEZ - ONDAS DE LA MONTANA;ONDAS DE LA MONTANA;51502;HJDS;1350 kHz;AM;COMERCIAL
ANTIOQUIA;MEDELLIN;IGLESIA CRISTIANA PENTECOSTES DE COLOMBIA DEL MOVIMIENTO MISIONERO MUNDIAL INC;LA W RADIO;51527;HJCR;590 kHz;AM;COMERCIAL
ANTIOQUIA;SANTA FE DE ANTIOQUIA;LUZ MARINA GOMEZ GUIRAL - EMISORA COMERCIAL DE SANTA FE DE ANTIOQUIA;EMISORA COMERCIAL DE SANTA FE DE ANTIOQUIA;54088;HJG23;106.7 MHz;FM;COMERCIAL
